state,year,total_pop,white_pop,black_pop,hispanic_pop,asian_pop,native_pop,islander_pop,multi_race_pop,median_income,poverty_rate,unemployment_rate,unemployed_15_weeks,labor_force_participation_rate,hs_grad_rate,bachelors_grad_rate,zhvi,crude_rate_suicide,crude_rate_od,count:__crimes_against_society,count:__fraud_and_other_financial_crimes,count:__property_crime,count:__violent_crime,rate:__crimes_against_society,rate:__fraud_and_other_financial_crimes,rate:__property_crime,rate:__violent_crime,youth_not_in_school,youth_in_foster_care,youth_living_in_poverty,total_crime_count,total_crime_rate,log_total_crime_rate
DC,2018,667900,0.367,0.449,0.113,0.036,0.0,0.0,0.034,85750,0.147,0.057,0.031,0.7040000000000001,0.9209999999999999,0.604,555379.0998,0.0,14.666666666666666,189.0,6.0,311.0,725.0,27.41,0.87,45.1,105.14,9000.0,122.0,29000.0,1231.0,178.51999999999998,5.190286622334331
DC,2017,657600,0.36,0.459,0.11,0.041,0.01,0.0,0.028,83380,0.136,0.061,0.035,0.705,0.902,0.573,527460.6647,0.0,14.666666666666666,182.0,10.0,332.0,774.0,26.4,1.45,48.15,112.24,11000.0,139.0,32000.0,1298.0,188.24,5.2430160507629475
DC,2016,644400,0.359,0.468,0.111,0.037,0.0,0.0,0.023,70980,0.163,0.062,0.039,0.6990000000000001,0.905,0.568,506381.6645,0.0,14.666666666666666,213.0,11.0,387.0,819.0,30.89,1.6,56.12,118.78,13000.0,155.0,31000.0,1430.0,207.39,5.339411324082998
FL,2022,21693500,0.508,0.144,0.273,0.028,0.001,0.0,0.046,65370,0.135,0.03,0.013999999999999999,0.591,0.899,0.34299999999999997,371953.6143,11.9,12.9,8067.0,1820.0,11574.0,18299.0,36.27,8.18,52.03,82.26,268000.0,2141.25,723000.0,39760.0,178.74,5.191511362230227
FL,2021,21304700,0.512,0.144,0.27,0.028,0.001,0.0,0.046,59730,0.126,0.047,0.031,0.5820000000000001,0.898,0.332,297663.9865,12.9,15.3,3692.0,857.0,4719.0,8535.0,16.91,3.92,21.61,39.09,267000.0,2141.25,753000.0,17803.0,81.53,4.413161863604593
GA,2022,10609800,0.498,0.306,0.104,0.044,0.001,0.001,0.047,67730,0.11699999999999999,0.031,0.015,0.615,0.895,0.34700000000000003,306191.9454,15.0,13.3,14910.0,3909.0,19304.0,23865.0,136.63,35.82,176.88,218.68,162000.0,1370.0,411000.0,61988.0,568.01,6.343898008664341
GA,2021,10478300,0.503,0.303,0.1,0.043,0.002,0.0,0.048,61500,0.14,0.039,0.023,0.616,0.89,0.34600000000000003,254243.6412,17.9,13.4,14647.0,3324.0,18517.0,22623.0,135.74,30.8,171.61,209.66,175000.0,1370.0,502000.0,59111.0,547.8100000000001,6.3077522978200085
GA,2020,10386150,0.5115000000000001,0.308,0.099,0.041999999999999996,0.002,0.0005,0.036500000000000005,59270,0.133,0.065,0.017,0.613,0.893,0.348,215181.106,15.6,9.8,10619.0,2493.0,16097.0,17769.0,98.94,23.23,149.98,165.57,168500.0,1370.0,494000.0,46978.0,437.71999999999997,6.083861396373949
GA,2019,10294000,0.52,0.313,0.098,0.041,0.002,0.001,0.025,56630,0.121,0.036000000000000004,0.015,0.63,0.879,0.325,200421.846,13.7,5.8,3551.0,681.0,4896.0,4421.0,33.15,6.36,45.7,41.26,169000.0,1381.0,461000.0,13549.0,126.47,4.84788104279483
GA,2018,10212800,0.525,0.309,0.097,0.041,0.01,0.01,0.025,55820,0.14800000000000002,0.04,0.017,0.633,0.8759999999999999,0.319,186666.2804,14.1,6.3,85.0,7.0,42.0,31.0,0.79,0.07,0.39,0.29,166000.0,1400.0,505000.0,165.0,1.54,0.9321640810304452
