State,Offender Age,Data Year,Count:  Crimes Against Society,Count:  Fraud and Other Financial Crimes,Count:  Property Crime,Count:  Violent Crime,Rate:  Crimes Against Society,Rate:  Fraud and Other Financial Crimes,Rate:  Property Crime,Rate:  Violent Crime
OH,15-24,2020,12922,1850,25000,30860,109.52,15.68,211.9,261.56
OH,15-24,2021,15859,2306,25024,33062,134.79,19.6,212.69,281.02
OH,15-24,2022,15080,1784,22845,33042,128.23,15.17,194.27,280.97
OK,15-24,2016,4922,778,5252,4505,124.31,19.65,132.64,113.78
OK,15-24,2017,4660,712,5237,4516,117.69,17.98,132.27,114.06
OK,15-24,2018,4859,777,5058,4931,122.72,19.62,127.74,124.54
OK,15-24,2019,4636,1039,7007,6183,117.09,26.25,176.98,156.16
OK,15-24,2020,3986,941,6988,6621,100.52,23.73,176.23,166.97
OK,15-24,2021,6218,1304,9778,11461,155.78,32.67,244.96,287.13
OK,15-24,2022,6367,1464,9138,12203,158.42,36.42,227.35,303.61
OR,15-24,2016,6773,1652,11453,7280,159.85,38.99,270.29,171.81
OR,15-24,2017,6458,1563,10456,7403,152.41,36.89,246.77,174.72
OR,15-24,2018,6386,1628,10002,7917,150.71,38.42,236.05,186.84
OR,15-24,2019,5223,1378,8826,7056,123.26,32.52,208.3,166.52
OR,15-24,2020,3735,1034,7388,6474,87.98,24.35,174.04,152.5
OR,15-24,2021,2456,874,6356,6683,57.7,20.53,149.33,157.01
OR,15-24,2022,2302,805,6214,6958,54.3,18.98,146.58,164.13
PA,15-24,2016,348,83,506,312,2.68,0.64,3.89,2.4
PA,15-24,2017,390,87,426,289,3.0,0.67,3.27,2.23
PA,15-24,2018,282,56,250,225,2.17,0.43,1.92,1.73
PA,15-24,2019,139,20,124,143,1.07,0.15,0.95,1.1
PA,15-24,2020,70,12,78,60,0.54,0.1,0.6,0.47
PA,15-24,2021,8426,1122,5928,11225,64.74,8.62,45.55,86.26
PA,15-24,2022,7896,1175,7539,12968,60.87,9.05,58.12,99.97
RI,15-24,2016,2168,391,2929,2487,197.57,35.63,266.91,226.63
RI,15-24,2017,1902,373,2622,2433,173.32,34.0,238.94,221.71
RI,15-24,2018,1769,379,2379,2344,161.2,34.54,216.79,213.6
RI,15-24,2019,1312,259,2038,2151,119.56,23.6,185.71,196.01
RI,15-24,2020,1089,219,1671,1803,99.32,19.97,152.4,164.44
RI,15-24,2021,1146,225,1435,1641,104.45,20.51,130.8,149.57
RI,15-24,2022,862,241,1523,1748,78.8,22.03,139.23,159.8
SC,15-24,2016,19172,3506,23984,22054,374.57,68.5,468.58,430.87
SC,15-24,2017,20420,3353,21583,20354,398.95,65.51,421.67,397.66
SC,15-24,2018,20629,2999,19169,19902,403.03,58.59,374.51,388.83
