state,year,total_pop,white_pop,black_pop,hispanic_pop,asian_pop,native_pop,islander_pop,multi_race_pop,median_income,poverty_rate,unemployment_rate,unemployed_15_weeks,labor_force_participation_rate,hs_grad_rate,bachelors_grad_rate,zhvi,crude_rate_suicide,crude_rate_od,offender_age,count:__crimes_against_society,count:__fraud_and_other_financial_crimes,count:__property_crime,count:__violent_crime,rate:__crimes_against_society,rate:__fraud_and_other_financial_crimes,rate:__property_crime,rate:__violent_crime,youth_not_in_school,youth_in_foster_care,youth_living_in_poverty
DE,2016,924300,0.63,0.207,0.092,0.04,<.01,,0.027,58050,11.6,4.5,2.2,62.2,89.3,31.0,246807.4383,9.9,18.2,15-24,4430.0,1246.0,5596.0,4755.0,447.5,125.86,565.28,480.33,15000.0,127.0,35000.0
DC,2022,638600,0.363,0.422,0.119,0.039,,,0.055,101700,13.4,4.8,3.1,70.9,93.7,65.4,641893.9153,,15.4,15-24,1354.0,111.0,2352.0,4274.0,201.8,16.55,350.55,637.01,5000.0,,21000.0
DC,2021,633400,0.359,0.431,0.115,0.038,,,0.055,90640,14.0,6.9,4.0,69.2,92.8,63.0,629874.4722,,16.0,15-24,482.0,56.0,964.0,1964.0,72.05,8.37,144.09,293.56,11000.0,,29000.0
DC,2020,0,0.0,0,0.0,0.0,0,0,0.0,88220,16.8,7.9,3.1,69.7,93.8,63.6,595207.3612,,12.6,15-24,125.0,3.0,181.0,428.0,18.64,0.45,26.99,63.8,,,
DC,2019,671300,0.367,0.45,0.112,0.037,0.003,,0.031,93110,12.5,5.5,3.2,71.2,91.9,59.7,570990.8234,,,15-24,322.0,3.0,397.0,968.0,46.7,0.44,57.57,140.39,12000.0,109.0,24000.0
DC,2018,667900,0.367,0.449,0.113,0.036,,,0.034,85750,14.7,5.7,3.1,70.4,92.1,60.4,555379.0998,,,15-24,189.0,6.0,311.0,725.0,27.41,0.87,45.1,105.14,9000.0,122.0,29000.0
DC,2017,657600,0.36,0.459,0.11,0.041,<.01,,0.028,83380,13.6,6.1,3.5,70.5,90.2,57.3,527460.6647,,,15-24,182.0,10.0,332.0,774.0,26.4,1.45,48.15,112.24,11000.0,139.0,32000.0
DC,2016,644400,0.359,0.468,0.111,0.037,,,0.023,70980,16.3,6.2,3.9,69.9,90.5,56.8,506381.6645,,,15-24,213.0,11.0,387.0,819.0,30.89,1.6,56.12,118.78,13000.0,155.0,31000.0
FL,2022,21693500,0.508,0.144,0.273,0.028,0.001,0,0.046,65370,13.5,3.0,1.4,59.1,89.9,34.3,371953.6143,11.9,12.9,15-24,8067.0,1820.0,11574.0,18299.0,36.27,8.18,52.03,82.26,268000.0,,723000.0
FL,2021,21304700,0.512,0.144,0.27,0.028,0.001,0,0.046,59730,12.6,4.7,3.1,58.2,89.8,33.2,297663.9865,12.9,15.3,15-24,3692.0,857.0,4719.0,8535.0,16.91,3.92,21.61,39.09,267000.0,,753000.0
