state,year,total_pop,white_pop,black_pop,hispanic_pop,asian_pop,native_pop,islander_pop,multi_race_pop,median_income,poverty_rate,unemployment_rate,unemployed_15_weeks,labor_force_participation_rate,hs_grad_rate,bachelors_grad_rate,zhvi
MN,2021,5585100,0.769,0.067,0.058,0.05,0.006,N/A,0.049,80440,6.9,3.7,2.4,67.9,94.1,38.9,298790.6145
MN,2020,0,0,0,0,0,0,0,0,78750,8.5,6.3,1.3,69.7,93.8,37.9,266296.4713
MN,2019,5514800,0.791,0.064,0.056,0.049,0.009,N/A,0.03,81430,5.7,3.3,0.8,69.9,93.6,37.3,252044.0064
MN,2018,5489000,0.796,0.065,0.054,0.047,0.01,N/A,0.028,71820,7.9,3,0.8,69.6,93.4,36.7,239466.7637
MN,2017,5446600,0.8,0.064,0.052,0.048,0.01,N/A,0.026,71920,9.2,3.5,1,70.1,93.1,36.1,224271.1066
MN,2016,5392900,0.807,0.057,0.051,0.049,0.01,N/A,0.026,70220,8.7,3.9,1,70,92.9,34.8,209669.2919
MS,2022,2828900,0.557,0.364,0.032,0.009,0.004,N/A,0.035,48610,18.4,3.8,1.9,54.9,87.6,24.8,178507.9594
MS,2021,2850600,0.559,0.357,0.031,0.008,0.004,N/A,0.04,46640,17.4,5.5,2.9,55.1,86.5,24.8,162178.3372
MS,2020,0,0,0,0,0,0,0,0,45130,17.6,8,2.4,54.7,86.8,24.5,145332.868
MS,2019,2867100,0.566,0.376,0.03,0.01,0.004,N/A,0.014,44790,19.2,5.5,2.2,56.1,85.3,22.3,138591.2854
MS,2018,2879400,0.567,0.377,0.028,0.009,<.01,N/A,0.014,42780,19.6,5,2.1,55.6,85.4,23.2,133841.9373
MS,2017,2884500,0.569,0.377,0.028,0.01,<.01,N/A,0.012,43440,18.3,5.2,2.4,55.7,84.4,21.9,130735.2395
MS,2016,2887300,0.572,0.376,0.028,0.01,<.01,N/A,0.011,41100,21.1,6,2.6,55.7,84.1,21.8,128885.7741
MO,2022,5990000,0.769,0.104,0.047,0.021,0.002,0.001,0.056,71520,11.4,2.6,0.9,62.4,91.6,32.2,227423.0773
MO,2021,5987500,0.768,0.106,0.046,0.02,0.002,0.001,0.057,63590,12.3,4.1,2.2,62.5,91.6,31.7,201609.9262
MO,2020,0,0,0,0,0,0,0,0,62180,10.7,6.2,1.3,62.7,91.4,31.9,175660.4067
MO,2019,5939900,0.794,0.112,0.043,0.021,0.004,0.001,0.026,60600,9.4,3.3,0.9,63.9,90.7,30.2,164562.1624
MO,2018,5934500,0.795,0.113,0.041,0.02,<.01,<.01,0.026,61730,12.4,3.2,1.2,63.6,90.5,29.5,156695.0062
MO,2017,5921300,0.797,0.111,0.042,0.02,<.01,<.01,0.025,56890,11.1,3.7,1.5,63.9,89.7,29.1,148325.0918
MO,2016,5898000,0.798,0.113,0.04,0.019,<.01,<.01,0.024,55020,13,4.6,1.6,64.6,89.6,28.5,140590.5299
MT,2022,1093400,0.838,0.003,0.043,0.006,0.051,N/A,0.058,72970,10.4,2.7,0.7,62.9,94,34.6,442839.3558
MT,2021,1073800,0.838,0.004,0.043,0.007,0.055,N/A,0.054,65000,10.7,3.4,1.6,62.3,94.4,34.8,366372.4047
MT,2020,0,0,0,0,0,0,0,0,56740,10.9,5.8,1.2,63,94.4,34.6,294102.8299
MT,2019,1039400,0.861,0.006,0.037,0.008,0.061,N/A,0.028,60190,9.7,3.5,1,63.7,94.2,33.6,271932.391
MT,2018,1034000,0.861,<.01,0.039,0.007,0.058,N/A,0.031,57680,10.3,3.8,1.2,63.3,93.9,31.7,258121.642
MT,2017,1022600,0.865,<.01,0.036,0.01,0.059,N/A,0.029,59090,9.7,4.1,1.3,63.2,93,32.3,243461.5568
MT,2016,1015100,0.866,N/A,0.035,0.01,0.061,N/A,0.027,57080,11.7,4.3,1.5,63.3,92.8,31,232530.2487
NE,2022,1913700,0.759,0.042,0.123,0.023,0.005,N/A,0.047,78360,7.9,2.1,0.6,69.4,92.8,34.7,237003.4889
NE,2021,1907000,0.766,0.042,0.12,0.022,0.006,N/A,0.044,78110,8.1,2.6,1.2,69.3,92.2,34.4,213378.2959
NE,2020,0,0,0,0,0,0,0,0,72250,8.3,4.3,1.1,69.6,91.9,33.3,189029.5901
NE,2019,1873600,0.785,0.048,0.113,0.024,0.008,N/A,0.021,73070,8.7,3.1,0.8,70.3,92,33.2,177106.5192
NE,2018,1868900,0.787,0.044,0.111,0.023,0.01,N/A,0.029,67580,10.5,2.9,0.8,69.8,91.4,32.4,167798.9096
NE,2017,1859200,0.792,0.043,0.11,0.025,0.01,N/A,0.023,59620,10.4,3,1,69.4,91.3,31.7,157906.123
NE,2016,1845000,0.8,0.044,0.106,0.023,0.01,N/A,0.02,59370,9.6,3.1,1.2,69.9,90.9,31.4,149703.0432
NV,2022,3125400,0.444,0.09,0.303,0.09,0.005,0.006,0.063,72330,12,5.2,3,61.6,87.4,27,435313.5172
NV,2021,3090300,0.451,0.086,0.301,0.084,0.006,0.007,0.066,64340,12.8,6.8,5.9,60.2,87.2,27.6,362795.728
NV,2020,0,0,0,0,0,0,0,0,61160,12.9,13.7,2.7,61.3,87.2,28,311969.8337
NV,2019,3029700,0.478,0.092,0.293,0.085,0.009,0.006,0.037,70910,10.4,4.2,1.4,64.1,86.9,25.7,300435.9342
NV,2018,2983400,0.485,0.087,0.291,0.081,0.01,0.01,0.041,61860,13,4.4,1.5,63.4,86.9,24.9,280388.2248
